TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1683770021,1121.0,16111.0,13400.0,210.0,1510.0,13600.0,1970.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,19.4,-1.0,-1.0
1683770022,1338.0,16101.0,13400.0,210.0,1510.0,13600.0,1990.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1.0,1.0,2.0,1800430720.0,0.946,19.4,-1.0,-1.0
1683770023,1242.0,16106.0,13400.0,210.0,1510.0,13600.0,1990.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,19.4,-1.0,-1.0
1683770024,1133.0,16111.0,13600.0,210.0,1510.0,13600.0,1990.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,20.4,-1.0,-1.0
1683770025,1169.0,16111.0,13600.0,210.0,1510.0,13600.0,2000.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,18.9,-1.0,-1.0
1683770026,1147.0,16111.0,13600.0,210.0,1510.0,13600.0,2000.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800404352.0,0.946,18.9,-1.0,-1.0
1683770027,1116.0,16111.0,13600.0,210.0,1500.0,13600.0,2000.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683770028,1315.0,16087.0,13600.0,210.0,1500.0,13600.0,2000.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683770029,1175.0,16111.0,13600.0,210.0,1500.0,13600.0,2000.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.4,-1.0,-1.0
1683770030,1127.0,16111.0,13600.0,200.0,1500.0,13600.0,2000.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683770031,1116.0,16111.0,13600.0,200.0,1500.0,13600.0,1980.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800404352.0,0.946,18.0,-1.0,-1.0
1683770032,1521.0,16092.0,13600.0,200.0,1500.0,13600.0,1980.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683770033,1121.0,16111.0,13800.0,210.0,1500.0,13600.0,1980.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683770034,1127.0,16111.0,13800.0,210.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683770035,1144.0,16111.0,13800.0,210.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,1.0,1.0,2.0,600117184.0,0.88,18.5,-1.0,-1.0
1683770036,1394.0,16097.0,13600.0,220.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.9,-1.0,-1.0
1683770037,1135.0,16106.0,13600.0,220.0,1500.0,13600.0,1980.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683770038,1110.0,16116.0,13600.0,220.0,1500.0,13600.0,1980.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,19.9,-1.0,-1.0
1683770039,1113.0,16116.0,13600.0,200.0,1500.0,13600.0,1980.0,970.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800404352.0,0.946,19.4,-1.0,-1.0
1683770040,1206.0,16106.0,13600.0,200.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,19.4,-1.0,-1.0
1683770041,1183.0,16111.0,13600.0,200.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1100249984.0,0.88,19.4,-1.0,-1.0
1683770042,1540.0,16092.0,13600.0,230.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,19.9,-1.0,-1.0
1683770043,1133.0,16116.0,13600.0,230.0,1500.0,13400.0,2010.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,1.0,1.0,2.0,1800404352.0,0.946,19.9,-1.0,-1.0
1683770044,1419.0,16101.0,13600.0,230.0,1500.0,13400.0,2010.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683770045,1141.0,16116.0,13600.0,200.0,1500.0,13400.0,2010.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,20.4,-1.0,-1.0
1683770046,1166.0,16116.0,13600.0,200.0,1500.0,13400.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,1800457088.0,0.946,21.4,-1.0,-1.0
1683770047,1228.0,16111.0,13600.0,200.0,1500.0,13400.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1.0,1.0,2.0,700154304.0,0.88,19.9,-1.0,-1.0
1683770048,1537.0,16101.0,13600.0,220.0,1500.0,13400.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.9,-1.0,-1.0
1683770049,1127.0,16116.0,13600.0,220.0,1500.0,13600.0,1970.0,960.0,16000.0,-150.0,16000.0,-150.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,21.9,-1.0,-1.0
